google_index,domain_registration_length,page_rank,safe_anchor,nb_www,ratio_extRedirection,avg_words_raw,ratio_digits_url,nb_dots,ratio_digits_host,domain_age,domain_in_title,ratio_extHyperlinks,longest_words_raw,shortest_word_host,nb_hyperlinks,ratio_intHyperlinks,longest_word_path,length_hostname,avg_word_path,length_words_raw,phish_hints,shortest_word_path,nb_hyphens,web_traffic,char_repeat,links_in_tags,nb_slash,status
1,0,0,0.0,1,0.4375,8.0,0.398773006,4,0.0,-1,1,0.516129032,18,3,31,0.483870968,18,14,8.4,17,1,1,9,0,14,66.66666667,3,1
0,290,4,50.0,1,0.2,6.5,0.0,2,0.0,1170,0,0.052631579,10,3,95,0.947368421,0,18,0.0,2,0,0,0,390047,3,92.85714286,3,0
1,224,1,0.0,0,0.0,12.5,0.34375,2,0.0,1237,1,0.611111111,32,3,36,0.388888889,32,17,19.0,4,0,6,0,0,3,20.0,4,1
1,217,5,25.0,0,0.294117647,5.25,0.25,4,0.321428571,5627,1,0.80952381,11,1,21,0.19047619,0,28,0.0,4,0,0,0,0,1,0.0,3,1
1,251,0,0.0,0,0.0,6.285714286,0.0,2,0.0,3767,1,1.0,10,10,3,0.0,10,14,5.666666667,7,0,3,0,9264543,1,0.0,6,1
0,911,7,0.0,0,0.0625,8.166666667000001,0.212121212,2,0.0,9316,0,0.457142857,21,5,105,0.542857143,21,17,9.25,6,0,3,0,13,3,0.0,4,0
0,125,4,45.45454545,1,0.4,11.0,0.0,2,0.0,7849,1,0.625,19,3,16,0.375,0,26,0.0,2,0,0,0,0,3,0.0,3,0
0,97,2,0.0,1,0.146341463,5.4375,0.0,5,0.0,3920,1,0.6882494,20,20,417,0.3117506,10,24,4.466666667,16,0,2,0,0,4,96.66666667,10,1
0,1049,8,8.333333332999999,0,0.7142857140000001,4.166666667,0.0,2,0.0,5159,1,0.518518519,6,2,27,0.481481481,0,34,0.0,6,0,0,4,0,3,40.0,2,0
0,78,3,17.39130435,1,0.35,2.5,0.0,2,0.0,-1,1,0.125,3,1,160,0.875,3,12,3.0,4,0,3,1,74862,3,100.0,3,0
0,248,7,22.80701754,0,0.346938776,6.0,0.0,2,0.0,5230,1,0.267759563,7,5,183,0.7322404370000001,0,24,0.0,3,1,0,1,5828226,2,72.22222222,2,0
1,162,1,100.0,0,0.0,7.222222222,0.0,2,0.0,3125,1,0.0,26,26,23,1.0,9,30,4.875,9,4,2,2,0,0,100.0,7,1
1,88,4,0.0,0,0.0,5.333333333,0.0,2,0.0,5026,1,0.0,8,4,1,1.0,4,17,4.0,3,0,4,0,544886,0,100.0,3,1
1,257,2,60.0,1,0.0,7.8,0.295918367,2,0.0,2300,1,0.454545455,32,3,22,0.545454545,32,26,8.142857142999999,10,2,2,2,0,4,40.0,9,1
0,0,2,0.0,0,0.0,5.0,0.0,1,0.0,2580,0,0.028571429,5,5,35,0.971428571,0,8,0.0,1,0,0,0,1671658,1,94.44444444,2,0
0,3305,7,76.66666667,0,0.0,5.875,0.0,2,0.0,5825,0,0.060377358,13,4,265,0.939622642,9,22,5.0,8,0,3,0,7698,3,100.0,4,0
1,381,4,0.0,0,0.0,7.428571429,0.030534351,2,0.0,8019,1,0.884615385,40,2,26,0.115384615,40,27,7.545454545,14,0,1,1,0,6,7.692307692000001,7,1
0,197,6,25.0,1,0.277777778,6.8,0.0,2,0.0,7839,0,0.258064516,10,3,279,0.7419354840000001,10,23,8.5,5,0,7,1,607,4,31.25,4,0
1,250,0,0.0,0,0.0,12.33333333,0.0,2,0.0,2306,1,1.0,14,13,7,0.0,10,32,10.0,3,0,10,0,0,1,0.0,4,1
0,0,6,94.68085106,1,0.1,4.666666667,0.133333333,3,0.0,-1,1,0.023809524,9,3,420,0.976190476,9,11,5.5,6,0,3,0,6431,4,94.73684211,5,0
1,325,0,0.0,0,1.0,11.41666667,0.270440252,2,0.0,1500,1,0.076923077,40,10,13,0.923076923,40,14,11.54545455,12,0,3,0,0,4,100.0,8,1
1,1278,6,0.0,1,0.0,7.0,0.227272727,2,0.1363636359999999,2739,1,0.046511628,14,3,43,0.953488372,7,22,5.5,4,0,4,1,11657,3,93.75,4,1
1,231,2,100.0,0,0.0,9.222222222,0.077669903,3,0.0,134,1,0.15625,44,4,64,0.84375,44,19,9.857142857,9,0,2,1,1508317,2,45.45454545,4,1
1,517,5,0.0,0,0.0,4.285714286,0.0,4,0.0,7802,1,0.0,7,4,0,0.0,7,20,3.75,7,0,2,0,0,1,0.0,5,1
0,902,7,63.63636364,0,0.45,5.8,0.0,2,0.0,7133,1,0.079051383,10,2,253,0.920948617,10,16,6.0,5,0,4,0,12,0,100.0,4,0
1,137,2,50.0,1,0.142857143,8.5,0.0,3,0.0,1690,1,0.384615385,16,3,91,0.615384615,11,26,7.5,4,0,4,0,0,4,28.57142857,5,1
1,237,0,9.677419355,1,0.348837209,4.6,0.0,3,0.0,1588,1,0.233695652,11,3,184,0.766304348,4,19,3.0,5,0,2,0,0,4,82.85714286,4,1
1,77,2,100.0,1,0.0,13.2,0.283950617,2,0.0,5767,1,0.033333333,32,3,30,0.966666667,32,27,14.66666667,5,0,2,0,0,8,100.0,5,1
0,133,5,71.42857143,0,0.03125,6.285714286,0.0,2,0.0,7615,1,0.385542169,16,10,83,0.6144578310000001,11,31,5.166666667,14,0,2,10,2190,0,52.63157895,4,0
0,2974,10,100.0,0,0.0,6.0,0.0,2,0.0,8348,1,0.259259259,9,5,27,0.740740741,9,16,6.5,4,2,4,0,1,1,50.0,4,1
1,2974,10,0.0,0,0.0,7.0,0.0808080809999999,2,0.0,8348,1,0.62962963,16,4,27,0.37037037,16,15,7.444444444,11,1,1,2,1,2,33.33333333,7,1
1,315,4,90.0,1,0.333333333,7.5,0.0,2,0.0,6989,1,0.025423729,19,3,118,0.974576271,5,27,4.0,4,0,3,1,2203390,3,100.0,3,0
1,228,5,25.0,0,0.176470588,5.25,0.033333333,5,0.057142857,5615,1,0.80952381,18,1,21,0.19047619,7,35,3.5,8,2,2,1,0,3,0.0,4,1
0,1630,5,0.0,0,0.0,3.571428571,0.081081081,3,0.0,9327,1,0.0,9,7,0,0.0,9,19,3.0,14,0,1,0,4053,2,0.0,10,0
0,92,4,57.14285714,1,0.0,5.375,0.0,3,0.0,3561,1,0.055555556,8,3,54,0.944444444,8,18,6.2,8,0,4,3,6010,3,100.0,4,0
0,230,5,0.0,0,0.0,6.25,0.125,4,0.15625,5614,1,0.0,15,1,0,0.0,0,32,0.0,4,0,0,0,0,1,0.0,2,1
1,148,1,0.0,1,0.0,7.4,0.038461538,3,0.0,5408,1,0.0,16,3,0,0.0,8,24,6.0,5,0,4,0,0,5,0.0,4,1
1,2976,10,0.0,0,0.0,6.0,0.0,7,0.0,8346,0,1.0,10,5,1,0.0,10,24,6.0,11,0,3,1,1,3,0.0,4,1
0,3253,5,100.0,0,0.0,8.142857142999999,0.027027027,2,0.0,5877,1,0.011976048,10,8,167,0.988023952,10,12,8.166666667000001,7,0,4,0,24587,2,83.33333333,4,0
1,288,7,96.4504284,1,0.36,5.0,0.065217391,2,0.0,2633,1,0.058892815,8,3,849,0.941107185,7,16,4.75,6,0,3,1,827,4,7.692307692000001,4,0
0,792,4,0.0,1,0.0,7.8,0.0,3,0.0,6512,1,0.0,13,3,0,0.0,13,17,9.0,5,0,3,0,1680566,4,0.0,4,0
1,0,0,50.0,0,0.0,7.8,0.0,1,0.0,-1,1,0.4,10,7,5,0.6,9,21,7.333333333,5,1,6,1,0,3,0.0,6,1
1,901,7,70.37037037,0,0.291666667,4.4,0.0,2,0.0,7134,0,0.062337662,9,2,385,0.937662338,4,16,3.666666667,5,0,3,0,12,0,100.0,4,0
0,102,6,23.68421053,1,0.074074074,6.125,0.0,2,0.0,9394,0,0.382075472,10,3,212,0.617924528,10,15,6.5,8,0,3,3,1294,6,59.375,5,0
1,0,0,0.0,0,0.0,6.0,0.0,5,0.0,5044,1,0.0,10,10,0,0.0,9,13,5.333333333,7,2,2,1,0,0,0.0,7,1
1,1078,0,100.0,0,0.0,6.0,0.06779661,3,0.0,2573,1,0.0,13,13,13,1.0,8,17,4.833333333,7,1,3,0,0,1,100.0,6,1
1,944,4,0.0,0,0.0,8.2,0.01754386,4,0.026315789,1246,1,0.0,18,4,0,0.0,5,38,4.5,5,0,4,0,7048,0,0.0,3,1
0,50,3,100.0,0,0.5,6.0,0.0,1,0.0,2872,0,0.227272727,8,8,44,0.772727273,7,12,5.0,3,0,3,1,8400,2,63.63636364,4,0
1,212,1,0.0,1,0.0,7.75,0.0,2,0.0,4537,1,0.0,17,3,0,0.0,7,25,5.5,4,0,4,0,0,3,0.0,5,1
0,902,7,74.07407407,0,0.428571429,5.5,0.0,2,0.0,7133,0,0.035175879,9,2,199,0.964824121,7,16,5.5,4,0,4,0,12,0,100.0,4,0
1,374,5,14.28571429,0,0.846153846,12.0,0.027777778,2,0.034482759,7295,1,0.928571429,16,8,14,0.071428571,0,29,0.0,2,0,0,0,0,1,0.0,2,1
1,123,2,0.0,0,0.0,5.0,0.038461538,2,0.0,973,1,0.0,14,14,1,1.0,5,18,3.5,7,1,2,0,8238037,1,0.0,7,1
1,374,5,0.0,0,0.0,9.5,0.25,2,0.333333333,7296,1,1.0,11,8,5,0.0,0,24,0.0,2,0,0,0,0,8,0.0,3,1
0,179,10,0.0,0,0.0,10.5,0.0,1,0.0,7491,1,0.48,14,7,25,0.52,14,11,14.0,2,0,14,0,63,2,50.0,3,0
0,413,2,10.0,1,0.346153846,6.0,0.0,3,0.0,-1,1,0.787878788,9,3,33,0.212121212,0,19,0.0,2,0,0,0,479698,3,25.0,3,0
1,0,1,0.0,0,0.0,10.14285714,0.304347826,2,0.0,-1,1,0.0,32,15,11,1.0,32,22,9.333333333,7,3,2,1,0,5,100.0,8,1
0,323,5,35.71428571,1,0.05,6.0,0.058823529,2,0.0,8442,1,0.135135135,22,3,148,0.864864865,22,12,6.454545455,13,0,3,7,43102,3,61.11111111,7,0
0,2470,3,81.03448276,1,0.085365854,9.0,0.0,2,0.0,2277,1,0.453038674,15,3,181,0.546961326,0,23,0.0,2,0,0,0,2426481,3,0.0,3,0
0,27,3,20.0,1,0.12,7.5,0.0,2,0.0,1800,1,0.308641975,12,3,81,0.691358025,0,20,0.0,2,0,0,0,0,4,58.33333333,3,0
1,1011,4,82.60869565,0,0.4,6.266666667000001,0.008403361,4,0.0,-1,1,0.153061224,17,2,98,0.8469387759999999,13,24,5.769230769,15,3,2,1,0,3,82.35294118,9,1
0,65,4,50.0,1,0.25,7.0,0.06779661,2,0.0,3952,1,0.031007752,13,3,129,0.968992248,8,21,6.5,6,1,4,0,3862928,4,97.5,6,0
0,258,4,52.94117647,0,0.727272727,7.8,0.0,2,0.0,4855,1,0.112244898,15,15,98,0.8877551020000001,8,19,6.0,5,0,3,2,128132,1,0.0,3,0
1,201,0,10.0,0,0.636363636,22.66666667,0.271523179,3,0.0,166,1,0.488888889,110,7,45,0.5111111110000001,110,10,25.8,6,0,3,1,0,10,60.0,3,1
0,654,4,53.84615385,1,0.1578947369999999,5.727272727000001,0.035714286,3,0.0,4093,1,0.5,17,3,38,0.5,8,25,4.777777778,11,0,1,5,52436,6,58.82352941,5,0
1,0,2,93.33333333,0,0.0,5.0,0.0,3,0.0,-1,1,0.195121951,8,3,41,0.804878049,8,10,5.333333333,7,3,2,1,1080262,0,60.0,6,1
0,0,2,75.0,0,0.058823529,6.0,0.0,1,0.0,-1,0,0.038901602,6,6,437,0.961098398,0,9,0.0,1,0,0,0,294723,0,41.66666667,3,0
0,2808,10,100.0,1,0.0,8.333333332999999,0.0,2,0.0,8516,0,0.671532847,14,3,137,0.328467153,14,16,14.0,3,0,14,0,8,4,12.5,3,0
0,347,3,56.25,1,0.071428571,4.333333333,0.0,2,0.0,7689,1,0.064220183,6,3,218,0.935779817,0,19,0.0,3,0,0,1,381695,3,100.0,3,0
0,295,5,86.95652174,1,0.111111111,3.4,0.0,3,0.0,5913,1,0.290322581,4,3,31,0.709677419,4,16,3.5,5,0,3,1,86462,4,81.81818182,3,0
0,0,2,81.29032258,0,0.875,4.0,0.0,1,0.0,-1,0,0.230215827,4,4,139,0.769784173,0,9,0.0,1,0,0,0,2346124,0,66.66666667,2,0
1,241,0,0.0,0,0.0,5.0,0.0,1,0.0,4141,1,0.0,8,8,0,0.0,2,12,2.0,2,0,2,0,0,0,0.0,4,1
0,85,4,5.128205128,1,0.0,7.0,0.0,3,0.0,4664,1,0.961538462,11,3,104,0.038461538,0,21,0.0,2,0,0,0,0,3,0.0,3,0
0,49,0,0.0,1,0.1,8.0,0.0,2,0.0,317,1,0.0806451609999999,13,3,124,0.919354839,0,20,0.0,2,0,0,0,0,3,100.0,3,1
0,2009,5,62.06896552,1,0.692307692,6.5,0.0,2,0.0,4566,1,0.2,11,3,65,0.8,11,15,8.0,4,0,5,0,44445,4,60.0,4,0
1,0,9,0.0,0,0.0,5.0,0.181818182,1,0.0,-1,1,0.5,7,3,16,0.5,7,6,7.0,2,0,7,0,3523,0,27.27272727,3,1
1,438,0,0.0,1,0.0,5.0,0.038461538,3,0.0,657,1,1.0,7,3,2,0.0,7,14,5.2,7,0,3,0,0,4,0.0,5,1
1,0,2,0.0,1,0.0,4.4,0.026315789,3,0.0,-1,1,0.0,13,3,1,1.0,3,20,2.0,5,0,1,0,9412550,3,0.0,6,1
0,0,2,13.04347826,1,0.086956522,6.5,0.0,3,0.0,-1,1,0.597402597,10,3,77,0.402597403,0,21,0.0,2,0,0,0,0,3,9.090909091,3,0
1,25,0,100.0,0,0.0,8.428571429,0.105263158,4,0.0,3993,1,0.0,15,3,51,1.0,15,50,8.5,7,0,2,1,5707171,7,100.0,4,1
1,0,0,33.33333333,1,0.0,4.271604938,0.039534884,24,0.7692307690000001,-1,1,0.571428571,10,2,21,0.428571429,10,13,4.363636364,81,3,1,0,0,10,0.0,21,1
1,291,4,25.0,0,0.666666667,8.0,0.0,2,0.0,4823,0,0.078947368,12,2,38,0.921052632,10,19,10.0,3,0,10,0,212735,0,100.0,3,0
0,277,6,27.77777778,0,0.266666667,6.0,0.068493151,3,0.0,11046,0,0.245901639,13,5,61,0.7540983609999999,8,23,5.1428571430000005,9,0,3,5,545,3,90.0,3,0
1,347,0,0.0,1,0.0,5.428571429,0.107142857,2,0.0,2939,1,0.0,9,3,0,0.0,9,15,5.6,7,0,3,0,0,3,0.0,5,1
1,2825,5,100.0,0,0.818181818,4.363636364,0.0,1,0.0,3385,1,0.211538462,9,9,52,0.788461538,7,13,3.9,11,0,1,7,12180,2,0.0,5,0
1,517,5,0.0,0,0.0,7.714285714,0.0,3,0.0,7802,1,0.0,13,4,0,0.0,13,20,7.6,7,0,4,0,0,1,0.0,5,1
1,120,5,33.33333333,1,0.3,6.0,0.076923077,2,0.0,-1,1,0.120481928,11,3,83,0.879518072,8,19,5.5,6,0,4,1,241891,3,100.0,5,0
0,113,2,0.0,1,0.5,5.333333333,0.0,2,0.0,5366,1,0.916666667,7,3,24,0.083333333,0,22,0.0,3,0,0,1,3913090,3,0.0,3,0
1,79,1,0.0,2,0.3,8.875,0.244444444,4,0.0,2112,1,0.384615385,32,3,52,0.615384615,32,19,9.5,8,1,3,0,0,12,93.33333333,6,1
0,150,3,71.69811321,0,0.0,5.0,0.1555555559999999,3,0.0,7156,1,0.06031746,8,3,315,0.93968254,7,15,4.75,6,0,3,0,2272,1,86.66666667,5,0
0,1164,4,11.11111111,1,0.166666667,6.5,0.036363636,3,0.05,7602,0,0.1558441559999999,12,3,77,0.8441558440000001,10,20,6.0,6,0,4,0,145276,4,40.0,4,0
1,230,0,0.0,1,0.0,5.75,0.076923077,3,0.166666667,135,1,0.0,15,3,5,1.0,15,12,6.5,8,0,2,2,0,4,100.0,6,1
1,644,2,29.62962963,0,0.013986014,9.0,0.073170732,2,0.090909091,1546,1,0.7771739129999999,13,5,184,0.222826087,0,33,0.0,3,0,0,1,4669,4,3.50877193,3,1
1,358,0,7.391304347999999,0,0.1328502419999999,6.5,0.169014085,2,0.0,7,1,0.7113402059999999,14,6,582,0.288659794,7,25,5.333333333,8,0,3,1,0,0,6.976744186,4,1
1,2973,10,0.0,0,0.0,7.875,0.072289157,2,0.0,8348,0,1.0,33,5,10,0.0,33,16,8.666666667000001,8,1,1,0,1,2,0.0,7,1
1,321,0,0.0,0,0.0,14.5,0.342465753,1,0.0,-1,1,0.0,32,14,14,1.0,32,18,14.66666667,4,0,5,1,0,1,100.0,5,1
1,182,0,100.0,0,0.0,5.8,0.204545455,2,0.1,184,1,0.0,11,3,4,1.0,6,30,6.0,5,0,6,2,0,1,100.0,3,1
0,154,3,0.0,1,0.0,7.5,0.052631579,4,0.0,2403,1,0.0,16,3,1,1.0,16,16,7.9,12,2,2,1,819233,8,100.0,8,1
1,25,0,100.0,0,0.0,7.769230769,0.157480315,4,0.0,3992,1,0.0,17,3,51,1.0,17,50,7.375,13,0,2,1,5697976,2,100.0,4,1
0,112,0,0.0,0,0.153846154,8.888888889,0.070707071,4,0.0,254,1,0.40625,44,3,32,0.59375,44,20,9.285714286,9,0,2,0,0,4,50.0,4,1
1,169,1,0.0,1,0.7142857140000001,5.428571429,0.0,2,0.0,6041,1,0.184210526,7,3,38,0.815789474,7,20,6.0,7,1,5,1,0,3,100.0,7,1
1,1847,7,16.66666667,1,0.133333333,7.0,0.0,3,0.0,7284,0,0.204081633,12,3,147,0.7959183670000001,12,17,7.666666667,5,0,4,0,2788,3,0.0,4,0
1,0,0,100.0,0,0.0,5.333333333,0.0,5,0.0,-1,1,0.0,7,7,4,1.0,7,14,5.0,6,3,3,0,0,2,100.0,4,1
0,0,3,66.66666667,1,0.0,4.8,0.0,2,0.0,-1,0,0.020408163,13,3,98,0.979591837,3,24,2.5,5,0,2,1,1166803,3,96.0,5,0
1,0,1,87.5,1,0.0,3.0,0.0,3,0.0,5111,1,0.055172414,5,3,145,0.944827586,5,14,2.666666667,5,1,1,0,5692030,3,91.89189189,6,1
0,2202,5,90.90909091,0,0.125,6.6,0.0,2,0.0,8024,0,0.027027027,9,7,296,0.972972973,9,20,6.375,10,0,3,5,88431,3,84.21052632,6,0
0,946,7,75.0,1,0.333333333,5.166666667,0.049180328,2,0.0,5993,1,0.074534161,10,3,161,0.925465839,8,18,5.0,18,0,4,0,5488,3,40.0,5,0
0,237,4,100.0,1,0.0,7.6,0.0,3,0.0,2684,1,0.113207547,12,3,53,0.886792453,10,20,7.666666667,5,0,3,0,188662,3,20.0,4,0
1,0,1,0.0,0,0.0,4.0,0.086956522,6,0.108108108,725,1,0.0,6,2,3,1.0,0,37,0.0,7,0,0,1,23941,2,100.0,3,1
1,374,5,14.28571429,0,0.846153846,12.0,0.0,2,0.0,7295,1,0.928571429,16,8,14,0.071428571,0,29,0.0,2,0,0,0,0,0,0.0,2,1
0,264,4,10.0,1,0.0,9.0,0.0,2,0.0,3754,1,0.578125,15,3,64,0.421875,0,23,0.0,2,0,0,0,3847776,4,53.84615385,3,0
0,827,5,100.0,1,0.031746032,4.1428571430000005,0.0,2,0.0,5381,0,0.409090909,8,3,154,0.590909091,7,16,3.6,7,0,1,2,299694,3,7.407407407000001,6,0
1,275,2,40.0,0,0.142857143,7.272727272999999,0.0,2,0.0,3743,1,0.552631579,19,3,38,0.447368421,19,6,7.7,11,1,3,0,0,0,45.45454545,5,1
0,62,3,0.0,1,0.0,5.2,0.0,3,0.0,5416,1,0.0,11,3,0,0.0,6,19,4.0,5,0,3,0,435027,4,0.0,4,0
1,290,0,0.0,0,0.0,7.0,0.093023256,4,0.114285714,1901,1,0.0,10,4,1,1.0,0,35,0.0,4,1,0,0,0,0,0.0,3,1
0,81,2,0.0,0,0.0,5.0,0.0,1,0.0,3937,0,0.0,5,5,0,0.0,0,8,0.0,1,0,0,0,0,0,0.0,2,0
1,1001,4,37.5,1,0.4,3.714285714,0.071428571,3,0.0,6668,1,0.135135135,9,3,37,0.864864865,9,10,4.0,7,0,1,3,1677903,3,100.0,3,0
0,3621,5,42.7184466,0,0.198019802,7.0,0.0,1,0.0,4413,0,0.643312102,11,11,157,0.3566878979999999,7,15,6.0,5,0,3,3,225825,1,50.0,4,0
1,361,0,0.0,1,0.0,3.75,0.0,3,0.0,3983,1,0.0,6,2,0,0.0,4,27,3.666666667,8,0,3,3,0,3,0.0,4,1
0,304,5,76.66666667,0,0.6190476189999999,8.5,0.0,1,0.0,7732,1,0.100478469,15,15,209,0.899521531,8,19,6.333333333,4,0,3,0,81846,1,100.0,5,0
0,275,1,75.0,0,1.0,3.0,0.0,1,0.0,2647,1,0.045454545,5,3,22,0.954545455,1,13,1.0,3,0,1,1,0,0,100.0,3,1
0,59,7,73.68421053,1,0.053763441,4.428571429,0.020408163,2,0.0,9285,0,0.285276074,8,3,326,0.7147239259999999,8,15,4.2,7,0,1,2,121,3,78.57142857,5,0
0,353,5,40.0,0,0.214285714,6.6,0.020833333,3,0.0,8047,0,0.09929078,13,7,141,0.90070922,6,25,4.333333333,5,0,3,1,1577,2,89.36170213,3,0
1,200,0,0.0,1,0.0,7.166666667,0.037037037,4,0.0,531,0,0.1,23,3,10,0.9,23,25,6.6,12,3,2,1,0,4,75.0,6,1
1,0,0,0.0,0,0.0,8.666666667000001,0.0,2,0.0,1028,0,0.0,17,17,0,0.0,5,20,4.5,3,0,4,0,0,2,0.0,4,1
1,145,4,65.71428571,1,0.411764706,6.444444444,0.0,4,0.0,5334,1,0.116438356,10,3,146,0.883561644,10,20,6.571428571,9,0,3,3,1137149,4,83.33333333,5,0
1,69,4,14.54545455,1,0.212765957,5.5,0.0,2,0.0,7602,1,0.783333333,9,3,60,0.216666667,6,17,5.0,4,0,4,1,2368410,3,100.0,3,0
0,161,4,13.04347826,1,0.02484472,4.666666667,0.0,2,0.0,6460,1,0.387019231,6,3,416,0.612980769,0,19,0.0,3,0,0,1,1119897,4,34.48275862,3,0
1,2430,3,0.0,0,0.0,6.0,0.060606061,2,0.0,1953,1,0.875,10,3,8,0.125,10,14,10.0,3,1,10,0,4365,2,0.0,3,1
0,1156,4,17.46031746,1,0.133333333,3.0,0.0,3,0.0,-1,0,0.357142857,3,3,168,0.642857143,0,14,0.0,2,0,0,0,7600,3,55.55555556,3,0
0,984,8,19.16666667,1,0.111111111,6.333333333,0.0,2,0.0,5224,1,0.36677116,10,3,319,0.63322884,9,18,6.285714286,9,0,2,5,137,3,50.0,4,0
