google_index,page_rank,nb_hyperlinks,web_traffic,nb_www,domain_age,ratio_extHyperlinks,longest_word_path,phish_hints,ratio_intHyperlinks,safe_anchor,ratio_digits_url,longest_words_raw,length_hostname,links_in_tags,avg_word_path,length_words_raw,char_repeat,domain_registration_length,ratio_extRedirection,shortest_word_host,ratio_digits_host,nb_slash,shortest_word_path,domain_in_title,nb_dots,nb_hyphens,avg_words_raw,status
1,2,30,0,1,5767,0.033333333,32,0,0.966666667,100.0,0.283950617,32,27,100.0,14.66666667,5,8,77,0.0,3,0.0,5,2,1,2,0,13.2,1
0,5,83,2190,0,7615,0.385542169,11,0,0.6144578310000001,71.42857143,0.0,16,31,52.63157895,5.166666667,14,0,133,0.03125,10,0.0,4,2,1,2,10,6.285714286,0
0,10,27,1,0,8348,0.259259259,9,2,0.740740741,100.0,0.0,9,16,50.0,6.5,4,1,2974,0.0,5,0.0,4,4,1,2,0,6.0,1
1,10,27,1,0,8348,0.62962963,16,1,0.37037037,0.0,0.0808080809999999,16,15,33.33333333,7.444444444,11,2,2974,0.0,4,0.0,7,1,1,2,2,7.0,1
1,4,118,2203390,1,6989,0.025423729,5,0,0.974576271,90.0,0.0,19,27,100.0,4.0,4,3,315,0.333333333,3,0.0,3,3,1,2,1,7.5,0
1,5,21,0,0,5615,0.80952381,7,2,0.19047619,25.0,0.033333333,18,35,0.0,3.5,8,3,228,0.176470588,1,0.057142857,4,2,1,5,1,5.25,1
0,5,0,4053,0,9327,0.0,9,0,0.0,0.0,0.081081081,9,19,0.0,3.0,14,2,1630,0.0,7,0.0,10,1,1,3,0,3.571428571,0
0,4,54,6010,1,3561,0.055555556,8,0,0.944444444,57.14285714,0.0,8,18,100.0,6.2,8,3,92,0.0,3,0.0,4,4,1,3,3,5.375,0
0,5,0,0,0,5614,0.0,0,0,0.0,0.0,0.125,15,32,0.0,0.0,4,1,230,0.0,1,0.15625,2,0,1,4,0,6.25,1
1,1,0,0,1,5408,0.0,8,0,0.0,0.0,0.038461538,16,24,0.0,6.0,5,5,148,0.0,3,0.0,4,4,1,3,0,7.4,1
1,10,1,1,0,8346,1.0,10,0,0.0,0.0,0.0,10,24,0.0,6.0,11,3,2976,0.0,5,0.0,4,3,0,7,1,6.0,1
0,5,167,24587,0,5877,0.011976048,10,0,0.988023952,100.0,0.027027027,10,12,83.33333333,8.166666667000001,7,2,3253,0.0,8,0.0,4,4,1,2,0,8.142857142999999,0
1,7,849,827,1,2633,0.058892815,7,0,0.941107185,96.4504284,0.065217391,8,16,7.692307692000001,4.75,6,4,288,0.36,3,0.0,4,3,1,2,1,5.0,0
0,4,0,1680566,1,6512,0.0,13,0,0.0,0.0,0.0,13,17,0.0,9.0,5,4,792,0.0,3,0.0,4,3,1,3,0,7.8,0
1,0,5,0,0,-1,0.4,9,1,0.6,50.0,0.0,10,21,0.0,7.333333333,5,3,0,0.0,7,0.0,6,6,1,1,1,7.8,1
1,7,385,12,0,7134,0.062337662,4,0,0.937662338,70.37037037,0.0,9,16,100.0,3.666666667,5,0,901,0.291666667,2,0.0,4,3,0,2,0,4.4,0
0,6,212,1294,1,9394,0.382075472,10,0,0.617924528,23.68421053,0.0,10,15,59.375,6.5,8,6,102,0.074074074,3,0.0,5,3,0,2,3,6.125,0
1,0,0,0,0,5044,0.0,9,2,0.0,0.0,0.0,10,13,0.0,5.333333333,7,0,0,0.0,10,0.0,7,2,1,5,1,6.0,1
1,0,13,0,0,2573,0.0,8,1,1.0,100.0,0.06779661,13,17,100.0,4.833333333,7,1,1078,0.0,13,0.0,6,3,1,3,0,6.0,1
1,4,0,7048,0,1246,0.0,5,0,0.0,0.0,0.01754386,18,38,0.0,4.5,5,0,944,0.0,4,0.026315789,3,4,1,4,0,8.2,1
0,3,44,8400,0,2872,0.227272727,7,0,0.772727273,100.0,0.0,8,12,63.63636364,5.0,3,2,50,0.5,8,0.0,4,3,0,1,1,6.0,0
1,1,0,0,1,4537,0.0,7,0,0.0,0.0,0.0,17,25,0.0,5.5,4,3,212,0.0,3,0.0,5,4,1,2,0,7.75,1
0,7,199,12,0,7133,0.035175879,7,0,0.964824121,74.07407407,0.0,9,16,100.0,5.5,4,0,902,0.428571429,2,0.0,4,4,0,2,0,5.5,0
1,5,14,0,0,7295,0.928571429,0,0,0.071428571,14.28571429,0.027777778,16,29,0.0,0.0,2,1,374,0.846153846,8,0.034482759,2,0,1,2,0,12.0,1
1,2,1,8238037,0,973,0.0,5,1,1.0,0.0,0.038461538,14,18,0.0,3.5,7,1,123,0.0,14,0.0,7,2,1,2,0,5.0,1
1,5,5,0,0,7296,1.0,0,0,0.0,0.0,0.25,11,24,0.0,0.0,2,8,374,0.0,8,0.333333333,3,0,1,2,0,9.5,1
0,10,25,63,0,7491,0.48,14,0,0.52,0.0,0.0,14,11,50.0,14.0,2,2,179,0.0,7,0.0,3,14,1,1,0,10.5,0
0,2,33,479698,1,-1,0.787878788,0,0,0.212121212,10.0,0.0,9,19,25.0,0.0,2,3,413,0.346153846,3,0.0,3,0,1,3,0,6.0,0
1,1,11,0,0,-1,0.0,32,3,1.0,0.0,0.304347826,32,22,100.0,9.333333333,7,5,0,0.0,15,0.0,8,2,1,2,1,10.14285714,1
0,5,148,43102,1,8442,0.135135135,22,0,0.864864865,35.71428571,0.058823529,22,12,61.11111111,6.454545455,13,3,323,0.05,3,0.0,7,3,1,2,7,6.0,0
0,3,181,2426481,1,2277,0.453038674,0,0,0.546961326,81.03448276,0.0,15,23,0.0,0.0,2,3,2470,0.085365854,3,0.0,3,0,1,2,0,9.0,0
0,3,81,0,1,1800,0.308641975,0,0,0.691358025,20.0,0.0,12,20,58.33333333,0.0,2,4,27,0.12,3,0.0,3,0,1,2,0,7.5,0
1,4,98,0,0,-1,0.153061224,13,3,0.8469387759999999,82.60869565,0.008403361,17,24,82.35294118,5.769230769,15,3,1011,0.4,2,0.0,9,2,1,4,1,6.266666667000001,1
0,4,129,3862928,1,3952,0.031007752,8,1,0.968992248,50.0,0.06779661,13,21,97.5,6.5,6,4,65,0.25,3,0.0,6,4,1,2,0,7.0,0
0,4,98,128132,0,4855,0.112244898,8,0,0.8877551020000001,52.94117647,0.0,15,19,0.0,6.0,5,1,258,0.727272727,15,0.0,3,3,1,2,2,7.8,0
1,0,45,0,0,166,0.488888889,110,0,0.5111111110000001,10.0,0.271523179,110,10,60.0,25.8,6,10,201,0.636363636,7,0.0,3,3,1,3,1,22.66666667,1
0,4,38,52436,1,4093,0.5,8,0,0.5,53.84615385,0.035714286,17,25,58.82352941,4.777777778,11,6,654,0.1578947369999999,3,0.0,5,1,1,3,5,5.727272727000001,0
1,2,41,1080262,0,-1,0.195121951,8,3,0.804878049,93.33333333,0.0,8,10,60.0,5.333333333,7,0,0,0.0,3,0.0,6,2,1,3,1,5.0,1
0,2,437,294723,0,-1,0.038901602,0,0,0.961098398,75.0,0.0,6,9,41.66666667,0.0,1,0,0,0.058823529,6,0.0,3,0,0,1,0,6.0,0
0,10,137,8,1,8516,0.671532847,14,0,0.328467153,100.0,0.0,14,16,12.5,14.0,3,4,2808,0.0,3,0.0,3,14,0,2,0,8.333333332999999,0
0,3,218,381695,1,7689,0.064220183,0,0,0.935779817,56.25,0.0,6,19,100.0,0.0,3,3,347,0.071428571,3,0.0,3,0,1,2,1,4.333333333,0
0,5,31,86462,1,5913,0.290322581,4,0,0.709677419,86.95652174,0.0,4,16,81.81818182,3.5,5,4,295,0.111111111,3,0.0,3,3,1,3,1,3.4,0
0,2,139,2346124,0,-1,0.230215827,0,0,0.769784173,81.29032258,0.0,4,9,66.66666667,0.0,1,0,0,0.875,4,0.0,2,0,0,1,0,4.0,0
1,0,0,0,0,4141,0.0,2,0,0.0,0.0,0.0,8,12,0.0,2.0,2,0,241,0.0,8,0.0,4,2,1,1,0,5.0,1
0,4,104,0,1,4664,0.961538462,0,0,0.038461538,5.128205128,0.0,11,21,0.0,0.0,2,3,85,0.0,3,0.0,3,0,1,3,0,7.0,0
0,0,124,0,1,317,0.0806451609999999,0,0,0.919354839,0.0,0.0,13,20,100.0,0.0,2,3,49,0.1,3,0.0,3,0,1,2,0,8.0,1
0,5,65,44445,1,4566,0.2,11,0,0.8,62.06896552,0.0,11,15,60.0,8.0,4,4,2009,0.692307692,3,0.0,4,5,1,2,0,6.5,0
1,9,16,3523,0,-1,0.5,7,0,0.5,0.0,0.181818182,7,6,27.27272727,7.0,2,0,0,0.0,3,0.0,3,7,1,1,0,5.0,1
1,0,2,0,1,657,1.0,7,0,0.0,0.0,0.038461538,7,14,0.0,5.2,7,4,438,0.0,3,0.0,5,3,1,3,0,5.0,1
1,2,1,9412550,1,-1,0.0,3,0,1.0,0.0,0.026315789,13,20,0.0,2.0,5,3,0,0.0,3,0.0,6,1,1,3,0,4.4,1
0,2,77,0,1,-1,0.597402597,0,0,0.402597403,13.04347826,0.0,10,21,9.090909091,0.0,2,3,0,0.086956522,3,0.0,3,0,1,3,0,6.5,0
1,0,51,5707171,0,3993,0.0,15,0,1.0,100.0,0.105263158,15,50,100.0,8.5,7,7,25,0.0,3,0.0,4,2,1,4,1,8.428571429,1
1,0,21,0,1,-1,0.571428571,10,3,0.428571429,33.33333333,0.039534884,10,13,0.0,4.363636364,81,10,0,0.0,2,0.7692307690000001,21,1,1,24,0,4.271604938,1
1,4,38,212735,0,4823,0.078947368,10,0,0.921052632,25.0,0.0,12,19,100.0,10.0,3,0,291,0.666666667,2,0.0,3,10,0,2,0,8.0,0
0,6,61,545,0,11046,0.245901639,8,0,0.7540983609999999,27.77777778,0.068493151,13,23,90.0,5.1428571430000005,9,3,277,0.266666667,5,0.0,3,3,0,3,5,6.0,0
1,0,0,0,1,2939,0.0,9,0,0.0,0.0,0.107142857,9,15,0.0,5.6,7,3,347,0.0,3,0.0,5,3,1,2,0,5.428571429,1
1,5,52,12180,0,3385,0.211538462,7,0,0.788461538,100.0,0.0,9,13,0.0,3.9,11,2,2825,0.818181818,9,0.0,5,1,1,1,7,4.363636364,0
1,5,0,0,0,7802,0.0,13,0,0.0,0.0,0.0,13,20,0.0,7.6,7,1,517,0.0,4,0.0,5,4,1,3,0,7.714285714,1
1,5,83,241891,1,-1,0.120481928,8,0,0.879518072,33.33333333,0.076923077,11,19,100.0,5.5,6,3,120,0.3,3,0.0,5,4,1,2,1,6.0,0
0,2,24,3913090,1,5366,0.916666667,0,0,0.083333333,0.0,0.0,7,22,0.0,0.0,3,3,113,0.5,3,0.0,3,0,1,2,1,5.333333333,0
1,1,52,0,2,2112,0.384615385,32,1,0.615384615,0.0,0.244444444,32,19,93.33333333,9.5,8,12,79,0.3,3,0.0,6,3,1,4,0,8.875,1
0,3,315,2272,0,7156,0.06031746,7,0,0.93968254,71.69811321,0.1555555559999999,8,15,86.66666667,4.75,6,1,150,0.0,3,0.0,5,3,1,3,0,5.0,0
0,4,77,145276,1,7602,0.1558441559999999,10,0,0.8441558440000001,11.11111111,0.036363636,12,20,40.0,6.0,6,4,1164,0.166666667,3,0.05,4,4,0,3,0,6.5,0
1,0,5,0,1,135,0.0,15,0,1.0,0.0,0.076923077,15,12,100.0,6.5,8,4,230,0.0,3,0.166666667,6,2,1,3,2,5.75,1
1,2,184,4669,0,1546,0.7771739129999999,0,0,0.222826087,29.62962963,0.073170732,13,33,3.50877193,0.0,3,4,644,0.013986014,5,0.090909091,3,0,1,2,1,9.0,1
1,0,582,0,0,7,0.7113402059999999,7,0,0.288659794,7.391304347999999,0.169014085,14,25,6.976744186,5.333333333,8,0,358,0.1328502419999999,6,0.0,4,3,1,2,1,6.5,1
1,10,10,1,0,8348,1.0,33,1,0.0,0.0,0.072289157,33,16,0.0,8.666666667000001,8,2,2973,0.0,5,0.0,7,1,0,2,0,7.875,1
1,0,14,0,0,-1,0.0,32,0,1.0,0.0,0.342465753,32,18,100.0,14.66666667,4,1,321,0.0,14,0.0,5,5,1,1,1,14.5,1
1,0,4,0,0,184,0.0,6,0,1.0,100.0,0.204545455,11,30,100.0,6.0,5,1,182,0.0,3,0.1,3,6,1,2,2,5.8,1
0,3,1,819233,1,2403,0.0,16,2,1.0,0.0,0.052631579,16,16,100.0,7.9,12,8,154,0.0,3,0.0,8,2,1,4,1,7.5,1
1,0,51,5697976,0,3992,0.0,17,0,1.0,100.0,0.157480315,17,50,100.0,7.375,13,2,25,0.0,3,0.0,4,2,1,4,1,7.769230769,1
0,0,32,0,0,254,0.40625,44,0,0.59375,0.0,0.070707071,44,20,50.0,9.285714286,9,4,112,0.153846154,3,0.0,4,2,1,4,0,8.888888889,1
1,1,38,0,1,6041,0.184210526,7,1,0.815789474,0.0,0.0,7,20,100.0,6.0,7,3,169,0.7142857140000001,3,0.0,7,5,1,2,1,5.428571429,1
1,7,147,2788,1,7284,0.204081633,12,0,0.7959183670000001,16.66666667,0.0,12,17,0.0,7.666666667,5,3,1847,0.133333333,3,0.0,4,4,0,3,0,7.0,0
1,0,4,0,0,-1,0.0,7,3,1.0,100.0,0.0,7,14,100.0,5.0,6,2,0,0.0,7,0.0,4,3,1,5,0,5.333333333,1
0,3,98,1166803,1,-1,0.020408163,3,0,0.979591837,66.66666667,0.0,13,24,96.0,2.5,5,3,0,0.0,3,0.0,5,2,0,2,1,4.8,0
1,1,145,5692030,1,5111,0.055172414,5,1,0.944827586,87.5,0.0,5,14,91.89189189,2.666666667,5,3,0,0.0,3,0.0,6,1,1,3,0,3.0,1
0,5,296,88431,0,8024,0.027027027,9,0,0.972972973,90.90909091,0.0,9,20,84.21052632,6.375,10,3,2202,0.125,7,0.0,6,3,0,2,5,6.6,0
0,7,161,5488,1,5993,0.074534161,8,0,0.925465839,75.0,0.049180328,10,18,40.0,5.0,18,3,946,0.333333333,3,0.0,5,4,1,2,0,5.166666667,0
0,4,53,188662,1,2684,0.113207547,10,0,0.886792453,100.0,0.0,12,20,20.0,7.666666667,5,3,237,0.0,3,0.0,4,3,1,3,0,7.6,0
1,1,3,23941,0,725,0.0,0,0,1.0,0.0,0.086956522,6,37,100.0,0.0,7,2,0,0.0,2,0.108108108,3,0,1,6,1,4.0,1
1,5,14,0,0,7295,0.928571429,0,0,0.071428571,14.28571429,0.0,16,29,0.0,0.0,2,0,374,0.846153846,8,0.0,2,0,1,2,0,12.0,1
0,4,64,3847776,1,3754,0.578125,0,0,0.421875,10.0,0.0,15,23,53.84615385,0.0,2,4,264,0.0,3,0.0,3,0,1,2,0,9.0,0
0,5,154,299694,1,5381,0.409090909,7,0,0.590909091,100.0,0.0,8,16,7.407407407000001,3.6,7,3,827,0.031746032,3,0.0,6,1,0,2,2,4.1428571430000005,0
1,2,38,0,0,3743,0.552631579,19,1,0.447368421,40.0,0.0,19,6,45.45454545,7.7,11,0,275,0.142857143,3,0.0,5,3,1,2,0,7.272727272999999,1
0,3,0,435027,1,5416,0.0,6,0,0.0,0.0,0.0,11,19,0.0,4.0,5,4,62,0.0,3,0.0,4,3,1,3,0,5.2,0
1,0,1,0,0,1901,0.0,0,1,1.0,0.0,0.093023256,10,35,0.0,0.0,4,0,290,0.0,4,0.114285714,3,0,1,4,0,7.0,1
0,2,0,0,0,3937,0.0,0,0,0.0,0.0,0.0,5,8,0.0,0.0,1,0,81,0.0,5,0.0,2,0,0,1,0,5.0,0
1,4,37,1677903,1,6668,0.135135135,9,0,0.864864865,37.5,0.071428571,9,10,100.0,4.0,7,3,1001,0.4,3,0.0,3,1,1,3,3,3.714285714,0
0,5,157,225825,0,4413,0.643312102,7,0,0.3566878979999999,42.7184466,0.0,11,15,50.0,6.0,5,1,3621,0.198019802,11,0.0,4,3,0,1,3,7.0,0
1,0,0,0,1,3983,0.0,4,0,0.0,0.0,0.0,6,27,0.0,3.666666667,8,3,361,0.0,2,0.0,4,3,1,3,3,3.75,1
0,5,209,81846,0,7732,0.100478469,8,0,0.899521531,76.66666667,0.0,15,19,100.0,6.333333333,4,1,304,0.6190476189999999,15,0.0,5,3,1,1,0,8.5,0
0,1,22,0,0,2647,0.045454545,1,0,0.954545455,75.0,0.0,5,13,100.0,1.0,3,0,275,1.0,3,0.0,3,1,1,1,1,3.0,1
0,7,326,121,1,9285,0.285276074,8,0,0.7147239259999999,73.68421053,0.020408163,8,15,78.57142857,4.2,7,3,59,0.053763441,3,0.0,5,1,0,2,2,4.428571429,0
0,5,141,1577,0,8047,0.09929078,6,0,0.90070922,40.0,0.020833333,13,25,89.36170213,4.333333333,5,2,353,0.214285714,7,0.0,3,3,0,3,1,6.6,0
1,0,10,0,1,531,0.1,23,3,0.9,0.0,0.037037037,23,25,75.0,6.6,12,4,200,0.0,3,0.0,6,2,0,4,1,7.166666667,1
1,0,0,0,0,1028,0.0,5,0,0.0,0.0,0.0,17,20,0.0,4.5,3,2,0,0.0,17,0.0,4,4,0,2,0,8.666666667000001,1
1,4,146,1137149,1,5334,0.116438356,10,0,0.883561644,65.71428571,0.0,10,20,83.33333333,6.571428571,9,4,145,0.411764706,3,0.0,5,3,1,4,3,6.444444444,0
1,4,60,2368410,1,7602,0.783333333,6,0,0.216666667,14.54545455,0.0,9,17,100.0,5.0,4,3,69,0.212765957,3,0.0,3,4,1,2,1,5.5,0
0,4,416,1119897,1,6460,0.387019231,0,0,0.612980769,13.04347826,0.0,6,19,34.48275862,0.0,3,4,161,0.02484472,3,0.0,3,0,1,2,1,4.666666667,0
1,3,8,4365,0,1953,0.875,10,1,0.125,0.0,0.060606061,10,14,0.0,10.0,3,2,2430,0.0,3,0.0,3,10,1,2,0,6.0,1
0,4,168,7600,1,-1,0.357142857,0,0,0.642857143,17.46031746,0.0,3,14,55.55555556,0.0,2,3,1156,0.133333333,3,0.0,3,0,0,3,0,3.0,0
0,8,319,137,1,5224,0.36677116,9,0,0.63322884,19.16666667,0.0,10,18,50.0,6.285714286,9,3,984,0.111111111,3,0.0,4,2,1,2,5,6.333333333,0
